,Unnamed: 0,DriverID,Hour,Minute,Second,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,TaskID_new
493,583,Driver-3,14,22,0,-0.3511450381679389,5.076335877862595,-1.282442748091603,0.150146484375,-0.04931640625,-0.7890625,51
494,202,Driver-2,15,50,34,-0.6870229007633588,3.816793893129771,-0.4809160305343512,0.347412109375,-0.107666015625,-0.908203125,15
495,615,Driver-1,15,15,17,-4.190839694656488,4.312977099236641,4.870229007633588,0.319580078125,-0.107666015625,-0.927001953125,55
496,811,Driver-3,15,2,15,-0.6335877862595419,1.076335877862595,0.2824427480916031,0.26611328125,-0.052734375,-0.9013671875,71
497,464,Driver-2,14,32,12,-11.66412213740458,7.732824427480916,1.946564885496183,0.390625,0.0576171875,-0.630615234375,38
498,514,Driver-2,14,35,2,-1.679389312977099,6.274809160305344,-0.9389312977099236,0.463134765625,-0.131591796875,-0.97412109375,44
499,691,Driver-1,15,21,15,4.511450381679389,6.83206106870229,-22.6412213740458,0.052001953125,-0.50927734375,-1.2919921875,61
500,832,Driver-3,15,0,45,-1.748091603053435,3.229007633587786,2.358778625954198,0.374267578125,-0.0673828125,-0.9765625,73
501,756,Driver-2,15,9,21,-3.282442748091603,2.068702290076336,2.725190839694656,0.341552734375,-0.072998046875,-0.951904296875,66
502,239,Driver-2,15,36,2,0.5648854961832062,7.595419847328245,1.786259541984733,0.416015625,-0.085205078125,-0.84033203125,18
503,931,Driver-1,12,15,50,-13.3587786259542,-8.679389312977099,9.33587786259542,0.397705078125,-0.062255859375,-1.224853515625,83
504,268,Driver-3,15,34,43,3.198473282442748,2.122137404580153,0.2442748091603053,0.3359375,-0.109619140625,-0.992919921875,20
505,90,Driver-1,15,44,6,-3.0,9.16030534351145,0.7786259541984732,0.230712890625,-0.075927734375,-1.091064453125,7
506,531,Driver-3,14,24,1,-4.259541984732825,2.053435114503817,2.045801526717557,0.478271484375,-0.128662109375,-1.036376953125,46
507,541,Driver-3,14,24,38,-0.2977099236641221,4.648854961832061,0.7938931297709924,0.184326171875,-0.0625,-1.02197265625,47
508,354,Driver-1,14,25,18,3.351145038167939,2.694656488549618,-0.1068702290076336,0.426025390625,-0.25390625,-0.9501953125,26
509,571,Driver-3,14,20,42,-3.389312977099237,2.030534351145038,1.557251908396946,0.36572265625,-0.12548828125,-0.881103515625,50
510,133,Driver-2,15,46,43,-6.412213740458015,6.076335877862595,4.183206106870229,0.23486328125,-0.022705078125,-0.713623046875,10
511,745,Driver-2,15,10,7,4.450381679389313,1.267175572519084,1.656488549618321,0.103515625,-0.130859375,-0.880126953125,65
512,918,Driver-1,12,15,31,-0.7786259541984732,7.541984732824427,0.6870229007633588,-0.0048828125,0.069091796875,-0.974365234375,82
513,38,Driver-1,15,41,12,-2.740458015267175,-10.35114503816794,36.47328244274809,0.111083984375,0.489990234375,-0.7939453125,3
514,598,Driver-3,14,21,5,-5.450381679389313,5.061068702290076,1.083969465648855,0.4658203125,-0.1962890625,-1.076904296875,53
515,1039,Driver-3,12,21,18,1.549618320610687,6.618320610687022,1.389312977099237,0.4248046875,-0.1767578125,-0.923583984375,99
516,1069,Driver-3,12,24,1,-1.984732824427481,4.213740458015267,-0.099236641221374,0.297607421875,-0.1083984375,-1.026611328125,103
517,695,Driver-1,15,21,19,0.8320610687022901,2.427480916030534,-8.305343511450381,-0.072265625,-0.153564453125,-1.036376953125,61
518,521,Driver-2,14,24,49,-0.6793893129770993,3.969465648854962,0.8549618320610687,0.18994140625,-0.071533203125,-0.989990234375,45
519,976,Driver-2,12,18,17,4.503816793893129,5.022900763358779,1.244274809160305,0.00927734375,0.034912109375,-0.947021484375,90
520,586,Driver-3,14,21,25,1.50381679389313,0.2900763358778626,1.83206106870229,0.2763671875,-0.160888671875,-0.979248046875,52
521,1046,Driver-3,12,21,39,0.6259541984732825,5.427480916030534,3.152671755725191,0.67041015625,-0.40673828125,-1.0078125,100
522,804,Driver-3,15,3,17,3.893129770992366,0.648854961832061,-41.38931297709924,-0.015380859375,-0.55810546875,-1.228759765625,70
523,676,Driver-1,15,20,22,-0.8244274809160306,1.954198473282443,1.786259541984733,0.392333984375,-0.160400390625,-0.779296875,60
524,552,Driver-3,14,23,33,2.786259541984733,-1.290076335877863,-4.923664122137405,0.1484375,-0.136962890625,-1.084716796875,48
525,123,Driver-1,15,45,28,0.4732824427480916,2.091603053435115,11.57251908396947,0.0869140625,0.139404296875,-1.029296875,9
